name,duration,year,genre,releaseDate,rating,ratingCount,director,cast,story,language and country
"Danny Says ,",1h 44min,2015,"Documentary,Animation,Biography",,7.5,53,,,"Danny Says is a documentary on the life and times of Danny Fields. Since 1966, Danny Fields has played a pivotal role in music and ""culture"" of the late 20th century: working for the Doors, Cream, Lou Reed, Nico, Judy Collins and managing groundbreaking artists like the Stooges, the MC5 and the Ramones. Danny Says follows Fields from Phi Beta Kappa whiz-kid, to Harvard Law dropout, to the Warhol Silver Factory, to Director of Publicity at Elektra Records, to ""punk pioneer"" and beyond. Danny's taste and opinion, once deemed defiant and radical, has turned out to have been prescient. Danny Says is a story of marginal turning mainstream, avant garde turning prophetic, as Fields looks to the next generation.","Danny Says Website,Official site,USA,English,company contact information,IMDbPro,DTS,Color, Black and White"
"The Birth of a Nation ,",2h,2016,"Biography,Drama","7 October 2016 (USA)
,",4.9,"2,054",,,"Set against the antebellum South, THE BIRTH OF A NATION follows Nat Turner (Nate Parker), a literate slave and preacher, whose financially strained owner, Samuel Turner (Armie Hammer), accepts an offer to use Nat's preaching to subdue unruly slaves. As he witnesses countless atrocities - against himself and his fellow slaves - Nat orchestrates an uprising in the hopes of leading his people to freedom.                ,","Official site,USA,English,Savannah, Georgia, USA,company contact information,IMDbPro,Color"
"The Wolfpack ,",1h 30min,2015,"Documentary,Biography","10 July 2015 (USA)
,",7.0,"7,935",,,"Locked away from society in an apartment on the Lower East Side of Manhattan, the Angulo brothers learn about the outside world through the films that they watch. Nicknamed, 'The Wolfpack,' the brothers spend their childhood reenacting their favorite films using elaborate homemade props and costumes. Their world is shaken up when one of the brothers decides to revisit the outside world and everything changes.                ,","Official site,USA,English,Manhattan, New York City, New York, USA,company contact information,IMDbPro,Dolby,Color"
Jason Segel/Michael B. Jordan/Big Sean/Brad Wilk ,1h,,"Comedy,Talk-Show","Episode aired 5 August 2015
,",,,Alexander J. Vietmeier,"Seth Meyers,Jason Segel,Michael B. Jordan",", (, (2015)); , (, (2015)). Also: , performs; , sits in with The 8G Band.","USA,English,company contact information,IMDbPro,Color"
"Headshot ,",1h 57min,2016,"Action,Drama,Thriller",,7.7,263,"Kimo Stamboel,Timo Tjahjanto","Julie Estelle,David Hendrawan,Chelsea Islan","Uwais plays a young man who washes ashore, an amnesiac with a serious head injury whose past comes back to haunt him shortly after being nursed back to health by a young doctor. Violence ensues. Sweet, sweet violence.","Twitch article,Indonesia,Indonesian,company contact information,IMDbPro,Color"
"Saturday Night Live: The Best of Mike Myers ,",1h 24min,1998,"Documentary,Comedy",Video,7.3,969,"Beth McCarthy-Miller,Dave Wilson","Mike Myers,Alec Baldwin,Morwenna Banks","Mike Myers Is a genius at creating original comic characters, and it all started at Saturday Night Live. Party on with Wayne Campbell on Wayne's World, Dieter on Sprockets, Linda Richman on Coffee Talk, and the best of all the others. Plus there's extra material, including scenes that were cut after Dress Rehearsal and never seen before now.                ,","USA,English,company contact information,IMDbPro,Stereo,Color"
"(Re) Assignment ,",1h 35min,2016,"Action,Thriller","2017 (USA)
,",5.1,55,Walter Hill,"Sigourney Weaver,Michelle Rodriguez,Caitlin Gerard","Following an ace assassin who is double crossed by gangsters and falls into the hands of rogue surgeon known as The Doctor who turns him into a woman. The hitman now a hitwoman sets out for revenge, aided by a nurse named Johnnie who also has secrets.                ,","USA,France,Canada,English,Vancouver, Canada,company contact information,IMDbPro,Color"
"M.S. Dhoni: The Untold Story ,",3h 4min,2016,"Biography,Sport","30 September 2016 (USA)
,",8.6,"7,313",,,The untold story of Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,"India,Hindi,Jamshedpur, Jharkhand, India,company contact information,IMDbPro,Color"
"Albüm ,",1h 45min,2016,Comedy,,6.8,103,Mehmet Can Mertoglu,"Mihriban Er,Sebnem Bozoklu,Zuhal Gencer","A middle-class Turkish couple is far from willing to admit they used adoption as a last resort to build a family, and will do anything to keep it a secret.","Turkey,France,Romania,Turkish,Antalya, Turkey,company contact information,IMDbPro,Dolby SR,Color"
"In Dubious Battle ,",1h 50min,2016,Drama,,7.5,110,James Franco,"Vincent D'Onofrio,Bryan Cranston,James Franco","In the California apple country, nine hundred migratory workers rise up ""in dubious battle"" against the landowners. The group takes on a life of its own-stronger than its individual members and more frightening. Led by the doomed Jim Nolan, the strike is founded on his tragic idealism-on the ""courage never to submit or yield."" Published in 1936, In Dubious Battle is considered the first major work of Pulitzer Prize-winning author John Steinbeck.","Announcement,USA,English,company contact information,IMDbPro,Color"
Hollywood ,1h,,"Documentary,History",TV Mini-Series (1980– ),9.2,531,"James Mason,Viola Dana,Byron Haskin",,"Distilled (un-credited) from ,'s 1968 book ""The Parade's Gone By..."", this 13-part mini-series follows the rise and fall of the American silent film industry. Each episode focuses on a different aspect of silent film history and production. Several silent film makers - stars, writers, directors, producers, stunt-men and crew - and their family and friends are interviewed. Also included are hundreds of film clips and behind-the-scene photographs, how-did-they-do-that spoilers and lots of trivia.                ,","UK,English,BBC Enterprises, Wood Lane, Shepherd's Bush, London, England, UK,company contact information,IMDbPro,Mono, Black and White,Color"
"Nocturnal Animals ,",1h 55min,2016,"Drama,Thriller","9 December 2016 (USA)
,",8.0,648,,,"A ""story inside a story,"" in which the first part follows a woman named Susan who receives a book manuscript from her ex-husband, a man whom she left 20 years earlier, asking for her opinion. The second element follows the actual manuscript, called ""Nocturnal Animals,"" which revolves around a man whose family vacation turns violent and deadly. It also continues to follow the story of Susan, who finds herself recalling her first marriage and confronting some dark truths about herself.","USA,English,Los Angeles, California, USA,company contact information,IMDbPro,Dolby Digital,Color"
"Finding Mr Destiny ,",1h 52min,2010,"Comedy,Romance","8 December 2010 (South Korea)
,",6.6,651,,,"Gi-joon starts an agency that helps people locate their long-lost first loves and Ji-woo becomes his first client. She is dragged there by her worried father, Captain SEO, who learns that Ji-woo is still hung up on Kim Jung-wook, a man she fell in love with on her trip to India in her early twenties. In offer to identify the face of Ji-woo's long lost first love, the two travel all around the country and come face-to-face with a smörgåsbord of Kim Jong-wook's. After days on end of little success in the search for Kim Jong-wook, the agency receives a single phone call of fate. An inquiry from none other than Kim Jong-wook himself, hoping to find Jin-woo through the help of Gi-joon's agency. Gi-joon tells Ji-woo the good news, but having realized his feelings for her, Gi-joon turns and runs back to Ji-woo.                ,","Official site [Japan],Official site [South Korea],South Korea,Korean,company contact information,IMDbPro,Dolby Digital,Color"
Fear the Walking Dead ,1h,,"Drama,Horror,Sci-Fi",,7.2,"65,943",,,"Spin off series of The Walking Dead that portrays the beginning events of the zombie apocalypse in the West coast during the same time frame when the city of Atlanta was falling under attack, while Rick was in a coma at the local hospital. It shows how the strain was already in full effect in the south while it's just starting in California.","Official Facebook,Official Site,USA,English,Los Angeles, California, USA,company contact information,IMDbPro,Stereo,Color"
"Sully ,",1h 36min,2016,"Biography,Drama","9 September 2016 (USA)
,",7.9,"26,665",,,"On Thursday, January 15th, 2009, the world witnessed the ""Miracle on the Hudson"" when Captain ,, nicknamed ""Sully"" & is portrayed by , glided his disabled plane onto the frigid waters of the Hudson River, saving the lives of all 155 aboard. However, even as Sully was being heralded by the public and the media for his unprecedented feat of aviation skill, an investigation was unfolding that threatened to destroy his reputation and his career.                ,","Official site,USA,English,New York City, New York, USA,company contact information,IMDbPro,Dolby Atmos,Color"
"Saturday Night Live: The Best of Chris Rock ,",1h 11min,1999,"Documentary,Comedy",TV Special,6.3,673,,,"Before he was the HBO stand-up comedian we all know and love, Chris Rock was on Saturday Night Live doing stand up comedy, expressing his feelings on crime, taxes, prison, holidays, and other topics of society. He also portrayed hilarious characters as Luther Campbell, Onski, Old Man Ernie, and the hilarious talk-show host Nat X!                ,","USA,English,company contact information,IMDbPro,Stereo,Color"
Houdini and Doyle ,,,"Crime,Drama,Mystery",,7.4,"1,828","David Hoselton,David N. Titcher",,"At the turn of the 20th century the Metropolitan Police were overwhelmed with bizarre cases so they turned to outsiders including Houdini and Doyle, who collaborated with New Scotland Yard on some unsolved and inexplicable crimes.","Canada,UK,English,Liverpool, Merseyside, England, UK,company contact information,IMDbPro,Stereo,Color"
"The Magnificent Seven ,",2h 13min,2016,"Action,Adventure,Western",,7.2,"20,212",,,"Director Antoine Fuqua brings his modern vision to a classic story in The Magnificent Seven. With the town of Rose Creek under the deadly control of industrialist Bartholomew Bogue, the desperate townspeople employ protection from seven outlaws, bounty hunters, gamblers and hired guns. As they prepare the town for the violent showdown that they know is coming, these seven mercenaries find themselves fighting for more than money.","Official Facebook,Official Twitter,USA,English,Baton Rouge, Louisiana, USA,company contact information,IMDbPro,Color"
Chris Hemsworth/Jessica Chastain/Kirsten Dunst/Stephen Mangan/Raleigh Ritchie ,1h,,"Comedy,Talk-Show","Episode aired 1 April 2016
,",7.3,15,"Graham Norton,Chris Hemsworth,Jessica Chastain",,"Australian actor , and Oscar nominee , talk about their upcoming fantasy action/adventure movie , (2016); , promotes her upcoming sci-fi drama , (2016); British actor , discusses his new miniseries , (2016); British actor and musician , a.k.a. Raleigh Ritchie performs his single ""Stronger Than Ever"".                ,","UK,English,company contact information,IMDbPro,Color"
"Harmonium ,",1h 58min,2016,Drama,,6.8,65,Kôji Fukada,"Mariko Tsutsui,Tadanobu Asano,Kanji Furutachi","Toshio hires Yasaka in his workshop. This old acquaintance, who has just been released from prison, begins to meddle in Toshio's family life.","Japan,France,Japanese,Tokyo, Japan,company contact information,IMDbPro,Color"
"X-Men ,",1h 44min,2000,"Action,Adventure,Sci-Fi",,7.4,"458,083",,,"In a world where both Mutants and Humans fear each other, Marie, better known as Rogue, runs away from home and hitches a ride with another mutant, known as Logan, a.k.a. Wolverine. Charles Xavier, who owns a school for young mutants, sends Storm and Cyclops to bring them back before it is too late. Magneto, who believes a war is approaching, has an evil plan in mind, and needs young Rogue to help him.                ,","Official Facebook,USA,English,Showline Studios, Toronto, Ontario, Canada,company contact information,IMDbPro,DTS,Dolby Digital EX,SDDS,Color"
"The Night of the Hunter ,",1h 32min,1955,"Crime,Drama,Film-Noir",,8.1,"65,324",,,"It's the Great Depression. In the process of robbing a bank of $10,000, Ben Harper kills two people. Before he is captured, he is able to convince his adolescent son John and his daughter Pearl not to tell anyone, including their mother Willa, where he hid the money, namely in Pearl's favorite toy, a doll that she carries everywhere with her. Ben, who is captured, tried and convicted, is sentenced to death. But before he is executed, Ben is in the state penitentiary with a cell mate, a man by the name of Harry Powell, a self-professed man of the cloth, who is really a con man and murderer, swindling lonely women, primarily rich widows, of their money before he kills them. Harry does whatever he can, unsuccessfully, to find out the location of the $10,000 from Ben. After Ben's execution, Harry decides that Willa will be his next mark, figuring that someone in the family knows where the money is hidden. Despite vowing not to remarry, Willa ends up being easy prey for Harry's outward ...                ,","MGM,USA,English,CBS Studio Center - 4024 Radford Avenue, Studio City, Los Angeles, California, USA,company contact information,IMDbPro,Mono, Black and White"
"Gran Torino ,",1h 56min,2008,Drama,,8.2,"567,573",,,"Walt Kowalski is a widower who holds onto his prejudices despite the changes in his Michigan neighborhood and the world around him. Kowalski is a grumpy, tough-minded, unhappy old man who can't get along with either his kids or his neighbors. He is a Korean War veteran whose prize possession is a 1972 Gran Torino he keeps in mint condition. When his neighbor Thao, a young Hmong teenager under pressure from his gang member cousin, tries to steal his Gran Torino, Kowalski sets out to reform the youth. Drawn against his will into the life of Thao's family, Kowalski is soon taking steps to protect them from the gangs that infest their neighborhood.                ,","Official Facebook,Official site [Japan],USA,Germany,English,Hmong,13140 Charlevoix St, Detroit, Michigan, USA,company contact information,IMDbPro,DTS,Dolby Digital,SDDS,Color"
"Brimstone ,",2h 28min,2016,"Mystery,Thriller,Western",,7.2,148,Martin Koolhoven,"Kit Harington,Dakota Fanning,Carice van Houten","A triumphant epic of survival and a tale of powerful womanhood and resistance against the unforgiving cruelty of a hell on earth. Our heroine is Liz (Dakota Fanning), carved from the beautiful wilderness, full of heart and grit, hunted by a vengeful Preacher (Guy Pearce) - a diabolical zealot and her twisted nemesis. But Liz is a genuine survivor; she's no victim - a woman of fearsome strength who responds with astonishing bravery to claim the better life she and her daughter deserve. Fear not. Retribution is coming.                ,","Official Facebook,Official Site,Netherlands,France,Germany,Belgium,Sweden,UK,English,Germany,company contact information,IMDbPro,Color"
"The Girl on the Train ,",,2016,,,,,,,"The Girl on the Train is the story of Rachel Watson's life post-divorce. Every day, she takes the train in to work in New York, and every day the train passes by her old house. The house she lived in with her husband, who still lives there, with his new wife and child. As she attempts to not focus on her pain, she starts watching a couple who live a few houses down -- Megan and Scott Hipwell. She creates a wonderful dream life for them in her head, about how they are a perfect happy family. And then one day, as the train passes, she sees something shocking, filling her with rage. The next day, she wakes up with a horrible hangover, various wounds and bruises, and no memory of the night before. She has only a feeling: something bad happened. Then come the TV reports: Megan Hipwell is missing. Rachel becomes invested in the case and trying to find out what happened to Megan, where she is, and what exactly she herself was up to that same night Megan went missing.","Official site,Official site [Japan],USA,English,Hastings-on-Hudson, New York, USA,company contact information,IMDbPro,Dolby Digital,Color"
"Wakefield ,",1h 46min,2016,Drama,,7.6,69,Robin Swicord,"Bryan Cranston,Jennifer Garner,Jason O'Mara",A man's nervous breakdown causes him to leave his wife and live in his attic for several months.,"Official Facebook,USA,English,Colonial Street, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA,company contact information,IMDbPro,Color"
"Chemsex ,",1h 23min,2015,Documentary,,5.1,268,"William Fairman,Max Gogarty",,"In hidden basements, bedrooms and bars across London, ""Chemsex"" is a documentary that exposes frankly and intimately a dark side to modern gay life. Traversing an underworld of intravenous drug use and weekend-long sex parties, ""Chemsex"" tells the story of several men struggling to make it out of 'the scene' alive - and one health worker who has made it his mission to save them. While society looks the other way, this powerful and unflinching film uncovers a group of men battling with HIV, drug addiction and finding acceptance in a changing world.                ,","59th BFI London Film Festival,UK,English,London, England, UK,company contact information,IMDbPro,Color"
