Name,Availability,Regular Price,Special Price,Description
2014 Felt ZW85,In stock,"
                    $1,349.00                ","
                    $999.00                ",Felt's popular -and well-fitting- endurance bike is back for 2014!
2014 Felt B14,In stock,"
                    $2,199.00                ","
                    $1,999.00                ",Are you ready for IronMan? The B14 certainly is...
2016 Trek Marlin 5,In stock,,,"When a mountain bike comes with different wheel sizes, the fit just gets better"
,,,,
2015 Felt Z5,In stock,"
                    $1,899.00                ","
                    $1,599.00                ",Felt's best-selling carbon fiber endurance road bike
Bontrager Aeolus 3 and 5 D3 Tubeless-Ready wheels,In stock,,,What makes any bike faster? Light and aero wheels
2016 Trek Farley 5,In stock,,,Winter is coming. Do you have the right bike?
2014 Giant Defy 5,In stock,"
                    $700.00                ","
                    $599.00                ",Your first road bike is within easier reach than you think
2017 Trek FX S 4,In stock,,,Road bike performance in a flat-bar style!
,,"
                    $2,100.00                ","
                    $1,299.00                ",
,,"
                    $2,850.00                ,
                    $5,499.00                ,
                    $5,100.00                ","
                    $2,000.00                ,
                    $3,999.00                ,
                    $3,600.00                ",
2015 Trek Speed Concept 9-Series P1,In stock,"
                    $10,080.00                ","
                    $6,999.00                ",Is this the finest TT/Tri machine ever made? Test ride one and decide for yourself
2016 Waterford R-33,In stock,,,Waterford is one of America's best custom steel bike builders.
,,,,
,,"
                    $8,200.00                ,
                    $8,500.00                ","
                    $5,999.00                ,
                    $6,000.00                ",
,,"
                    $2,125.00                ,
                    $570.00                ,
                    $585.00                ,
                    $2,600.00                ,
                    $650.00                ,
                    $1,600.00                ,
                    $2,500.00                ,
                    $3,650.00                ,
                    $920.00                ,
                    $1,500.00                ","
                    $1,749.00                ,
                    $470.00                ,
                    $550.00                ,
                    $2,100.00                ,
                    $569.00                ,
                    $1,450.00                ,
                    $2,000.00                ,
                    $3,000.00                ,
                    $849.00                ,
                    $1,250.00                ",
,,,,
,,,,
2017 Trek CrossRip 2,In stock,,,Trek's next-generation of performance commuter/gravel grinder is here!
,,"
                    $2,850.00                ,
                    $5,499.00                ,
                    $5,100.00                ","
                    $2,000.00                ,
                    $3,999.00                ,
                    $3,600.00                ",
,,,,
,,"
                    $1,889.00                ,
                    $1,339.00                ,
                    $1,099.00                ,
                    $879.00                ,
                    $649.00                ,
                    $879.00                ,
                    $1,649.00                ,
                    $2,099.00                ,
                    $2,999.00                ,
                    $1,569.00                ,
                    $5,149.00                ,
                    $10,500.00                ,
                    $4,729.00                ","
                    $1,599.00                ,
                    $1,199.00                ,
                    $1,049.00                ,
                    $829.00                ,
                    $599.00                ,
                    $829.00                ,
                    $1,399.00                ,
                    $1,799.00                ,
                    $2,699.00                ,
                    $1,499.00                ,
                    $3,499.00                ,
                    $7,000.00                ,
                    $2,999.00                ",
,,,,
,,,,
2016 Trek Farley 9.6,In stock,"
                    $2,999.00                ","
                    $2,799.00                ",
,,"
                    $1,349.00                ,
                    $1,899.00                ,
                    $1,349.00                ,
                    $1,499.00                ,
                    $2,069.00                ,
                    $2,099.00                ,
                    $3,499.00                ,
                    $2,599.00                ,
                    $7,999.00                ,
                    $2,199.00                ,
                    $1,999.00                ,
                    $1,349.00                ,
                    $3,499.00                ,
                    $2,399.00                ,
                    $1,399.00                ","
                    $999.00                ,
                    $1,599.00                ,
                    $1,200.00                ,
                    $1,299.00                ,
                    $1,499.00                ,
                    $1,399.00                ,
                    $3,150.00                ,
                    $2,399.00                ,
                    $4,999.00                ,
                    $1,999.00                ,
                    $1,899.00                ,
                    $1,099.00                ,
                    $2,499.00                ,
                    $1,699.00                ,
                    $1,250.00                ",
,,"
                    $1,349.00                ,
                    $1,899.00                ,
                    $1,349.00                ,
                    $1,499.00                ,
                    $2,069.00                ,
                    $2,999.00                ,
                    $2,099.00                ,
                    $3,499.00                ,
                    $2,599.00                ,
                    $7,999.00                ,
                    $2,199.00                ,
                    $1,999.00                ,
                    $1,349.00                ,
                    $3,499.00                ,
                    $2,399.00                ","
                    $999.00                ,
                    $1,599.00                ,
                    $1,200.00                ,
                    $1,299.00                ,
                    $1,499.00                ,
                    $1,999.00                ,
                    $1,399.00                ,
                    $3,150.00                ,
                    $2,399.00                ,
                    $4,999.00                ,
                    $1,999.00                ,
                    $1,899.00                ,
                    $1,099.00                ,
                    $2,499.00                ,
                    $1,699.00                ",
2016 Felt B2,In stock,"
                    $3,999.00                ","
                    $3,499.00                ",Felt's value-oriented B-series Tri/TT bike gets the Di2 treatment
,,,,
,,"
                    $140.00                ,
                    $275.00                ","
                    $112.00                ,
                    $175.00                ",
,,"
                    $899.00                ,
                    $569.00                ,
                    $659.00                ","
                    $799.00                ,
                    $519.00                ,
                    $599.00                ",
